City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,sao jose da coroa grande,-8.8978,-35.1478,77.95,76,99,8.7,BR,1675725323
244,nishihara,26.1842,127.7558,67.28,91,75,12.66,JP,1675725403
245,cockburn town,21.4612,-71.1419,78.01,75,5,15.08,TC,1675725365
246,coronel fabriciano,-19.5186,-42.6289,77.04,78,0,3.44,BR,1675725863
247,fortuna,40.5982,-124.1573,52.93,65,0,13.8,US,1675725569
248,lasa,46.6166,10.7002,31.08,97,96,5.21,IT,1675725383
249,bandarbeyla,9.4942,50.8122,74.59,76,75,11.52,SO,1675725863
250,ayagoz,47.9714,80.4392,24.24,95,98,11.92,KZ,1675725864
251,havre-saint-pierre,50.2334,-63.5986,14.0,77,0,11.5,CA,1675725864
252,chipinge,-20.1883,32.6236,64.02,63,29,3.62,ZW,1675725864
253,nakusp,50.2499,-117.8023,37.74,87,100,1.14,CA,1675725865
254,namibe,-15.1961,12.1522,70.66,78,76,5.3,AO,1675725503
255,hanko,59.8333,22.95,32.85,95,93,8.99,FI,1675725629
256,palu,-0.8917,119.8707,75.58,89,83,2.24,ID,1675725865
257,arman,59.7,150.1667,-19.03,83,82,8.59,RU,1675725866
258,bitkine,11.9801,18.2138,72.54,16,30,6.82,TD,1675725866
259,ochamchira,42.7121,41.4721,44.91,77,100,5.61,GE,1675725866
260,salinas,36.6777,-121.6555,61.63,58,0,10.36,US,1675725620
261,chuy,-33.6971,-53.4616,70.59,76,87,7.31,UY,1675725476
262,imbituba,-28.24,-48.6703,73.69,81,28,1.68,BR,1675725867
263,bambous virieux,-20.3428,57.7575,76.21,94,75,6.91,MU,1675725512
264,krasnoselkup,65.7,82.4667,-1.37,97,100,5.5,RU,1675725534
265,hanting,36.7708,119.2108,32.99,86,96,2.42,CN,1675725868
266,kabinda,-6.1333,24.4833,65.37,80,80,2.84,CD,1675725631
267,quatre cocos,-20.2078,57.7625,76.08,79,83,13.18,MU,1675725532
268,khani,41.9563,42.9566,38.77,66,100,3.27,GE,1675725444
269,varkaus,62.3153,27.873,19.31,92,96,4.47,FI,1675725767
270,mocuba,-16.8392,36.9856,72.3,96,100,1.74,MZ,1675725868
271,alamosa,37.4695,-105.87,35.58,20,75,13.8,US,1675725869
272,ustye,59.6304,39.736,-6.36,100,98,3.78,RU,1675725869
273,saint-pierre,-21.3393,55.4781,76.68,78,75,6.91,RE,1675725395
274,thinadhoo,0.5333,72.9333,80.85,76,100,11.41,MV,1675725870
275,tarbagatay,51.4803,107.3602,-14.53,100,92,4.16,RU,1675725870
276,urumqi,43.801,87.6005,14.95,93,100,2.24,CN,1675725413
277,mahebourg,-20.4081,57.7,76.24,77,55,13.6,MU,1675725088
278,cururupu,-1.8283,-44.8683,74.89,96,93,2.53,BR,1675725871
279,bonthe,7.5264,-12.505,76.48,78,100,6.91,SL,1675725871
280,kavaratti,10.5669,72.642,80.42,75,90,13.82,IN,1675725871
281,lagos,6.5833,3.75,79.45,86,94,5.21,NG,1675725651
282,puro,12.4841,123.3827,77.36,86,51,10.56,PH,1675725872
283,honningsvag,70.9821,25.9704,40.75,81,100,20.71,NO,1675725490
284,severobaykalsk,55.65,109.3167,-0.65,90,67,5.82,RU,1675725872
285,huarmey,-10.0681,-78.1522,74.86,78,53,8.75,PE,1675725388
286,pafos,34.7667,32.4167,51.58,66,40,17.27,CY,1675725873
287,qasigiannguit,68.8193,-51.1922,-1.95,99,100,4.43,GL,1675725873
288,prince rupert,54.3161,-130.3201,42.49,92,0,9.22,CA,1675725873
289,yining,29.0361,114.5636,49.33,97,100,2.08,CN,1675725874
290,noyabrsk,63.1994,75.4507,6.08,96,100,7.47,RU,1675725874
291,paracuru,-3.41,-39.0306,82.11,86,68,8.16,BR,1675725874
292,maine-soroa,13.2114,12.0241,71.02,13,97,9.42,NE,1675725875
293,luba,3.4568,8.5547,78.69,84,38,9.46,GQ,1675725875
294,swellendam,-34.0226,20.4417,71.58,87,87,3.8,ZA,1675725875
295,hammerfest,70.6634,23.6821,41.45,87,75,16.11,NO,1675725876
296,rio grande,-32.035,-52.0986,77.11,73,1,10.6,BR,1675725873
297,ende,-8.8432,121.6623,78.26,87,93,4.9,ID,1675725876
298,kodinsk,58.6881,99.1844,-14.19,100,100,0.92,RU,1675725877
299,torbay,47.6666,-52.7314,34.29,95,100,5.99,CA,1675725482
300,rio brilhante,-21.8019,-54.5464,75.25,75,61,1.61,BR,1675725877
301,san jeronimo,-11.9472,-75.2829,52.18,83,97,3.8,PE,1675725877
302,sao filipe,14.8961,-24.4956,68.45,62,16,17.69,CV,1675725878
303,vanimo,-2.6741,141.3028,78.49,89,100,3.31,PG,1675725484
304,wamba,8.9333,8.6,81.27,15,50,5.73,NG,1675725878
305,aktanysh,55.7216,54.0829,4.68,99,97,3.98,RU,1675725879
306,bengkulu,-3.8004,102.2655,75.22,84,87,6.46,ID,1675725335
307,ust-nera,64.5667,143.2,-39.82,100,100,1.23,RU,1675725530
308,nyurba,63.2842,118.3319,-45.18,100,92,1.12,RU,1675725879
309,manacor,39.5696,3.2096,50.88,86,45,5.84,ES,1675725880
310,bonavista,48.6499,-53.1147,25.11,94,100,14.72,CA,1675725880
311,kuruman,-27.4524,23.4325,70.99,74,100,12.53,ZA,1675725880
312,tarko-sale,64.9225,77.785,0.01,97,100,6.69,RU,1675725464
313,port huron,42.9709,-82.4249,29.01,79,100,9.22,US,1675725723
314,surt,31.2089,16.5887,54.34,55,92,5.66,LY,1675725881
315,kulu,39.0951,33.0799,27.55,76,100,19.51,TR,1675725881
316,samarai,-10.6167,150.6667,78.98,85,100,9.42,PG,1675725882
317,portland,45.5234,-122.6762,51.28,83,100,8.99,US,1675725462
318,kyren,51.6828,102.1408,-0.15,85,11,1.81,RU,1675725882
319,hay river,60.8156,-115.7999,1.36,71,100,6.91,CA,1675725337
320,beyneu,45.3167,55.2,36.0,83,100,18.61,KZ,1675725883
321,vila franca do campo,37.7167,-25.4333,55.81,93,100,14.05,PT,1675725512
322,alofi,-19.0595,-169.9187,85.89,70,40,8.05,NU,1675725507
323,pacific grove,36.6177,-121.9166,59.02,70,0,10.0,US,1675725252
324,touros,-5.1989,-35.4608,79.34,80,7,13.06,BR,1675725336
325,cabo san lucas,22.8909,-109.9124,81.61,50,0,13.8,MX,1675725266
326,coquimbo,-29.9533,-71.3436,65.93,82,75,8.05,CL,1675725266
327,aksu,41.1231,80.2644,24.96,80,97,2.46,CN,1675725884
328,ilulissat,69.2167,-51.1,-2.18,78,100,8.05,GL,1675725434
329,serenje,-13.2325,30.2352,61.05,98,100,3.8,ZM,1675725884
330,nantucket,41.2835,-70.0995,44.65,75,100,25.32,US,1675725695
331,jalpa,21.6333,-102.9667,83.97,13,0,6.91,MX,1675725885
332,natal,-5.795,-35.2094,79.45,83,40,6.91,BR,1675725568
333,luderitz,-26.6481,15.1594,64.29,92,9,13.62,NA,1675725567
334,abong mbang,3.9833,13.1833,68.45,26,18,1.66,CM,1675725886
335,cananeia,-25.0147,-47.9267,76.35,86,31,3.58,BR,1675725887
336,muros,42.7762,-9.0603,45.84,70,0,8.63,ES,1675725446
337,ahuimanu,21.4447,-157.8378,83.91,73,75,17.27,US,1675725887
338,saldanha,-33.0117,17.9442,64.45,97,81,13.47,ZA,1675725579
339,keelung,25.1283,121.7419,64.58,92,99,4.9,TW,1675725887
340,kuching,1.55,110.3333,80.02,91,40,1.14,MY,1675725763
341,lewistown,40.5992,-77.5714,39.16,81,100,6.91,US,1675725747
342,coffs harbour,-30.3,153.1333,78.76,61,40,8.05,AU,1675725888
343,olga,43.7444,135.2892,9.28,77,9,4.65,RU,1675725888
344,aykhal,66.0,111.5,-32.4,100,99,3.49,RU,1675725489
345,rawson,-43.3002,-65.1023,73.08,43,52,22.48,AR,1675725889
346,general roca,-39.0333,-67.5833,87.62,19,20,4.16,AR,1675725889
347,kaputa,-8.4689,29.6619,66.2,90,95,3.91,ZM,1675725890
